Title,Type,Option1 Value,Option2 Value,Variant SKU,Variant Price
,,Heirloom Maritime,Tub Mat,TM-1428-T4-364,12
,,Heirloom Navy,Sheet,BS-1428-T4-318,25
,,Heirloom Navy,Bath,BT-1428-T4-318,15
,,Heirloom Navy,Hand,HT-1428-T4-318,8
,,Heirloom Navy,Wash,WT-1428-T4-318,6
,,Heirloom Navy,Tub Mat,TM-1428-T4-318,12
,,Heirloom Orange Punch,Sheet,BS-1428-T4-1103,25
,,Heirloom Orange Punch,Bath,BT-1428-T4-1103,15
,,Heirloom Orange Punch,Hand,HT-1428-T4-1103,8
,,Heirloom Orange Punch,Wash,WT-1428-T4-1103,6
,,Heirloom Orange Punch,Tub Mat,TM-1428-T4-1103,12
,,Heirloom Breeze Blue,Sheet,BS-1428-T4-366,25
,,Heirloom Breeze Blue,Bath,BT-1428-T4-366,15
,,Heirloom Breeze Blue,Hand,HT-1428-T4-366,8
,,Heirloom Breeze Blue,Wash,WT-1428-T4-366,6
,,Heirloom Breeze Blue,Tub Mat,TM-1428-T4-366,12
,,Heirloom Mineral Green,Sheet,BS-1428-T4-382,25
,,Heirloom Mineral Green,Bath,BT-1428-T4-382,15
,,Heirloom Mineral Green,Hand,HT-1428-T4-382,8
,,Heirloom Mineral Green,Wash,WT-1428-T4-382,6
,,Heirloom Mineral Green,Tub Mat,TM-1428-T4-382,12
Pashmina Bath Towel Collection,BATH TOWEL,Pashmina Eggshell Blue,Bath,BT-1412-T3-356,32
,,Pashmina Eggshell Blue,Hand,HT-1412-T3-356,18
,,Pashmina Eggshell Blue,Wash,WT-1412-T3-356,11
Mason Bath Towel Collection,BATH TOWEL,Mason Linen,Bath,BT-1330-T1-404,32
,,Mason Linen,Hand,HT-1330-T1-404,18
,,Mason Linen,Wash,WT-1330-T1-404,11
Elizabeth Bath Towel Collection,BATH TOWEL,Elizabeth Ivory Linen,Bath,BT-1027-T1-410,32
,,Elizabeth Ivory Linen,Hand,HT-1027-T1-410,18
,,Elizabeth Ivory Linen,Tip,TT-1027-T1-410,11
Maya Bath Towel Collection,Bath Towel,Maya Cool,Bath,BT-1107-T1-313,32
,,Maya Cool,Hand,HT-1107-T1-313,18
,,Maya Cool,Wash,TT-1107-T1-313,11
,,Maya Coral,Bath,BT-1107-T1-1003,32
,,Maya Coral,Hand,HT-1107-T1-1003,18
,,Maya Coral,Wash,WT-1107-T1-1003,11
,,Maya Pastel,Bath,BT-1107-T1-1007,32
,,Maya Pastel,Hand,HT-1107-T1-1007,18
,,Maya Pastel,Wash,WT-1107-T1-1007,11
Alexander Bath Towel Collection,BATH TOWELS,Alexander Warm,Bath,BT-1407-T1-1307,28
,,Alexander Warm,Hand,HT-1407-T1-1307,18
,,Alexander Warm,Wash,WT-1407-T1-1307,10
Puebla Beach Towel,Beach,Puebla Navy,,BCH-1227-T1-318,45
Poncho Beach Towel,Beach,Poncho Multi,,BCH-1222-T1-1300,45
Pashmina Beach Towel,Beach,Pashmina Turquoise,,BCH-1412-T3-3023,45
,,Pashmina Coral,,BCH-1412-T3-1003,45
Maya Beach Towel,Beach,Beach Aqua Brites,,BCH-1399-T1-3010,40
,,Beach Cool,,BCH-1399-T1-3009,40
,,Beach Coral,,BCH-1399-T1-1003,40
,,Beach Multi Brites,,BCH-1399-T1-1303,40
Chesapeak Beach Towel,Beach,Red Navy,,BCH-1388-T1-506,40
Microcotton Luxury Bath Towel Collection,Bath Towel,White,Body,10102BSW01,75
,,White,Shwr,10102SHW01,50
,,White,Bath,10102BAW01,40
,,White,Hand,10102HAW01,25
,,White,Wash,10102WAW01,15
,,White,Tub Mat,10102TMW01,40
,,Aqua,Body,10102BSB26,75
,,Aqua,Shwr,10102SHB26,50
,,Aqua,Bath,10102BAB26,40
,,Aqua,Hand,10102HAB26,25
,,Aqua,Wash,10102WAB26,15
,,Aqua,Tub Mat,10102TMB26,40
,,Azure,Body,10102BSB56,75
,,Azure,Shwr,10102SHB56,50
,,Azure,Bath,10102BAB56,40
,,Azure,Hand,10102HAB56,25
,,Azure,Wash,10102WAB56,15
,,Azure,Tub Mat,10102TMB56,40
,,Bamboo,Body,10102BSG40,75
,,Bamboo,Shwr,10102SHG40,50
,,Bamboo,Bath,10102BAG40,40
,,Bamboo,Hand,10102HAG40,25
,,Bamboo,Wash,10102WAG40,15
,,Bamboo,Tub Mat,10102TMG40,40
,,Black,Body,10102BSK98,75
,,Black,Shwr,10102SHK98,50
,,Black,Bath,10102BAK98,40
,,Black,Hand,10102HAK98,25
,,Black,Wash,10102WAK98,15
,,Black,Tub Mat,10102TMK98,40
,,Chocolate,Body,10102BSO90,75
,,Chocolate,Shwr,10102SHO90,50
,,Chocolate,Bath,10102BAO90,40
,,Chocolate,Hand,10102HAO90,25
,,Chocolate,Wash,10102WAO90,15
,,Chocolate,Tub Mat,10102TMO90,40
,,Claret,Body,10102BSR90,75
,,Claret,Shwr,10102SHR90,50
,,Claret,Bath,10102BAR90,40
,,Claret,Hand,10102HAR90,25
,,Claret,Wash,10102WAR90,15
,,Claret,Tub Mat,10102TMR90,40
,,Ivory,Body,10102BSN01,75
,,Ivory,Shwr,10102SHN01,50
,,Ivory,Bath,10102BAN01,40
,,Ivory,Hand,10102HAN01,25
,,Ivory,Wash,10102WAN01,15
,,Ivory,Tub Mat,10102TMN01,40
,,Latte,Body,10102BSO40,75
,,Latte,Shwr,10102SHO40,50
,,Latte,Bath,10102BAO40,40
,,Latte,Hand,10102HAO40,25
,,Latte,Wash,10102WAO40,15
,,Latte,Tub Mat,10102TMO40,40
,,Navy,Body,10102BSB90,75
,,Navy,Shwr,10102SHB90,50
,,Navy,Bath,10102BAB90,40
,,Navy,Hand,10102HAB90,25
,,Navy,Wash,10102WAB90,15
,,Navy,Tub Mat,10102TMB90,40
,,Oat,Body,10102BSO15,75
,,Oat,Shwr,10102SHO15,50
,,Oat,Bath,10102BAO15,40
,,Oat,Hand,10102HAO15,25
,,Oat,Wash,10102WAO15,15
,,Oat,Tub Mat,10102TMO15,40
,,Paprika,Body,10102BSE85,75
,,Paprika,Shwr,10102SHE85,50
,,Paprika,Bath,10102BAE85,40
,,Paprika,Hand,10102HAE85,25
,,Paprika,Wash,10102WAE85,15
,,Paprika,Tub Mat,10102TME85,40
,,Periwinkle,Body,10102BSB25,75
,,Periwinkle,Shwr,10102SHB25,50
,,Periwinkle,Bath,10102BAB25,40
,,Periwinkle,Hand,10102HAB25,25
,,Periwinkle,Wash,10102WAB25,15
,,Periwinkle,Tub Mat,10102TMB25,40
,,Steel,Body,10102BSK65,75
,,Steel,Shwr,10102SHK65,50
,,Steel,Bath,10102BAK65,40
,,Steel,Hand,10102HAK65,25
,,Steel,Wash,10102WAK65,15
,,Steel,Tub Mat,10102TMK65,40
,,Wheat,Body,10102BSY35,75
,,Wheat,Shwr,10102SHY35,50
,,Wheat,Bath,10102BAY35,40
,,Wheat,Hand,10102HAY35,25
,,Wheat,Wash,10102WAY35,15
,,Wheat,Tub Mat,10102TMY35,40
Bamboo Pillowcase Pair,Bedding,White,Stdrd,52500SDW01,125
,,White,King,52500KGW01,135
,,Ivory,Stdrd,52500SDN01,125
,,Ivory,King,52500KGN01,135
,,Sky,Stdrd,52500SDB05,125
,,Sky,King,52500KGB05,135
,,Sea Glass,Stdrd,52500SDB30,125
,,Sea Glass,King,52500KGB30,135
,,Hemp,Stdrd,52500SDO05,125
,,Hemp,King,52500KGO05,135
,,Copper,Stdrd,52500SDE35,125
,,Copper,King,52500KGE35,135
,,Sable,Stdrd,52500SDO55,125
,,Sable,King,52500KGO55,135
,,Black Pearl,Stdrd,52500SDK55,125
,,Black Pearl,King,52500KGK55,135
Bamboo Flat Sheet,Bedding,White,Twin,50500TWW01,175
,,White,Queen,50500QNW01,150
,,White,King,50500KGW01,175
,,Ivory,Queen,50500QNN01,150
,,Ivory,King,50500KGN01,175
,,Sky,Queen,50500QNB05,150
,,Sky,King,50500KGB05,175
,,Sea Glass,Queen,50500QNB30,150
,,Sea Glass,King,50500KGB30,175
,,Hemp,Queen,50500QNO05,150
,,Hemp,King,50500KGO05,175
,,Copper,Queen,50500QNE35,150
,,Copper,King,50500KGE35,175
,,Sable,Queen,50500QNO55,150
,,Sable,King,50500KGO55,175
,,Black Pearl,Queen,50500QNK55,150
,,Black Pearl,King,50500KGK55,175
Bamboo Fitted Sheet,Bedding,White,Twin,51500TWW01,125
,,White,Queen,51500QNW01,150
,,White,King,51500KGW01,175
,,Ivory,Queen,51500QNN01,150
,,Ivory,King,51500KGN01,175
,,Sky,Queen,51500QNB05,150
,,Sky,King,51500KGB05,175
,,Sea Glass,Queen,51500QNB30,150
,,Sea Glass,King,51500KGB30,175
,,Hemp,Queen,51500QNO05,150
,,Hemp,King,51500KGO05,175
,,Copper,Queen,51500QNE35,150
,,Copper,King,51500KGE35,175
,,Sable,Queen,51500QNO55,150
,,Sable,King,51500KGO55,175
,,Black Pearl,Queen,51500QNK55,150
,,Black Pearl,King,51500KGK55,175
Waffle Bath Towel Collection,Bath Towel,Waffle Dew,BATH,BT-1382-T4-400,32
,,Waffle Dew,HAND,HT-1382-T4-400,18
,,Waffle Dew,WASH,WT-1382-T4-400,11
,,Waffle Beige,BATH,BT-1382-T4-406,32
,,Waffle Beige,HAND,HT-1382-T4-406,18
,,Waffle Beige,WASH,WT-1382-T4-406,11
,,Waffle Ivory,BATH,BT-1382-T4-101,32
,,Waffle Ivory,HAND,HT-1382-T4-101,18
,,Waffle Ivory,WASH,WT-1382-T4-101,11
,,Waffle Mist,BATH,BT-1382-T4-231,32
,,Waffle Mist,HAND,HT-1382-T4-231,18
,,Waffle Mist,WASH,WT-1382-T4-231,11
,,Waffle Sky Turquoise,BATH,BT-1382-T4-356,32
,,Waffle Sky Turquoise,HAND,HT-1382-T4-356,18
,,Waffle Sky Turquoise,WASH,WT-1382-T4-356,11
,,Waffle White,BATH,BT-1382-T4-100,32
,,Waffle White,HAND,HT-1382-T4-100,18
,,Waffle White,WASH,WT-1382-T4-100,11
Petite Dot Bath Accessories,Accessories,Bin,,WB-1352-A2-100,56
,,Dish,,SD-1352-A2-100,18
,,Jar,,JAR-1352-A2-100,22
,,Tmblr,,TUM-1352-A2-100,18
Turkish Bath Towel Collection,Solids,White,Set,16328STW01,159.99
,,Pewter,Set,16328STK35,159.99
,,Sea Foam,Set,16328STB61,159.99
,,Ivory,Set,16328STN01,159.99
,,Mushroom,Set,16328STO51,159.99
,,Coral,Set,16328STR45,159.99
,,French Blue,Set,16328STB68,159.99
,,Indigo,Set,16328STB88,159.99
,,,,,
Candy Bath Towel Collection,Bath Towel,Baby Mouse,Bath,BT-1347-T4-229,28
,,Baby Mouse,Hand,HT-1347-T4-229,18
,,Baby Mouse,Wash,WT-1347-T4-229,8
,,Seamist,Bath,BT-1347-T4-386,28
,,Seamist,Hand,HT-1347-T4-386,18
,,Seamist,Wash,WT-1347-T4-386,8
,,White,Bath,BT-1347-T4-100,28
,,White,Hand,HT-1347-T4-100,18
,,White,Wash,WT-1347-T4-100,8
,,Cloud Dancer,Bath,BT-1347-T4-131,28
,,Cloud Dancer,Hand,HT-1347-T4-131,18
,,Cloud Dancer,Wash,WT-1347-T4-131,8
,,Candyland,Bath,BT-1347-T4-1036,28
,,Candyland,Hand,HT-1347-T4-1036,18
,,Candyland,Wash,WT-1347-T4-1036,8
,,Soft Shell Pink,Bath,BT-1347-T4-1031,28
,,Soft Shell Pink,Hand,HT-1347-T4-1031,18
,,Soft Shell Pink,Wash,WT-1347-T4-1031,8
Linen Bath Towel Collection,Solids,Opal,Bath,BT-1384-T4-387,65
,,Opal,Hand,HT-1384-T4-387,34
,,Opal,Wash,WT-1384-T4-387,23
,,Oatmeal,Bath,BT-1384-T4-100,65
,,Oatmeal,Hand,HT-1384-T4-100,34
,,Oatmeal,Wash,WT-1384-T4-100,23
,,Cedar,Bath,BT-1384-T4-230,65
,,Cedar,Hand,HT-1384-T4-230,34
,,Cedar,Wash,WT-1384-T4-230,23
,,Beige,Bath,BT-1384-T4-404,65
,,Beige,Hand,HT-1384-T4-404,34
,,Beige,Wash,WT-1384-T4-404,23
Linen,Solids,Opal,Bath,BT-1384-T4-387,65
,,Opal,Hand,HT-1384-T4-387,34
,,Opal,Wash,WT-1384-T4-387,23
,,,,,
,,,,,
,,,,,
Linen,Solids,Beige,Bath,BT-1384-T4-404,65
,,Beige,Hand,HT-1384-T4-404,34
,,Beige,Wash,WT-1384-T4-404,23
,,,,,
,,,,,
,,,,,
Linen,Solids,Oatmeal,Bath,BT-1384-T4-100,65
,,Oatmeal,Hand,HT-1384-T4-100,34
,,Oatmeal,Wash,WT-1384-T4-100,23
,,,,,
,,,,,
,,,,,
Chic Stripes Bath Towel Collection,Fancies,Chic Stripes Grey,Bath,BT-1349-T1-203,32
,,Chic Stripes Grey,Hand,HT-1349-T1-203,18
,,Chic Stripes Grey,Wash,WT-1349-T1-203,11
,,,,,
,,,,,
Petite Dots Bath Towel Collection,Fancies,Petite Dots,Bath,BT-1350-T1-203,32
,,Petite Dots,Hand,HT-1350-T1-203,18
,,Petite Dots,Wash,WT-1350-T1-203,11
,,,,,
Scarlet Bath Accessories,Accessories,Scarlet Mimosa,Pump,LD-1314-A3-1026,20
,,Scarlet Mimosa,Bin,WB-1314-A3-1026,45
,,Scarlet Mimosa,Dish,SD-1314-A3-1026,17
,,Scarlet Mimosa,Jar,JAR-1314-A3-1026,20
,,Scarlet Mimosa,Tmblr,TUM-1314-A3-1026,17
